désignation,français,traduction en créole guyanais
mot,Professeur,"Profésèr, profésò"
mot,Prostituée,"Bòbò, djanmèt, bwabwa, manawa, ravèt-roch,
piten"
mot,Proverbe,Dolo
mot,Provocateur,Majò
mot,Provoquer,Sasé chikann
mot,"Put (du…, microbes)",Lapòstim
mot,Punch,"Pété-pyé, kou"
mot,Purge,"Mèdsin, prij"
mot,Quelle heure est-il ?,Li ki lò ?
mot,Quelque,"Tchèk, kèk"
mot,Quelques temps,"Kèk tan, tchèk tan"
mot,Qui a de l’importance,Pézan
mot,Quoi ?,Éti ?
mot,Quoi de neuf ? Quelles nouvelles ?,Ki nòv?
mot,Ramasser,Ranmasé
mot,Rapprocher pour organiser,Kontré-bwa
mot,"Rassasier, fatigué d’avoir mangé","Gon, lad"
mot,Rassembler,Sanblé
mot,Rebus,"Rébi, imondis"
mot,Récipient fait d’une demi-calebasse,Kwi
mot,Réclamer,Rouklanmen
mot,Recourber,"Kroubé, kokobé"
mot,Récurer,"Tchiré, froubi"
mot,Réduire,Ronyen
mot,Réellement,Di vrè
mot,Refroidissement,Cho-kè-frèt
mot,Refus,Fokòl
mot,Refuser,Roufizé
mot,Regard,Kout-wéy
mot,Regardant,"Rougadan, fouyaya"
mot,Regarder de travers,Pran oun wéy trabésé
mot,Remarquer,Roumaké
mot,Remède,"Rémèd, mèdsin"
mot,"Remerciements, grace à",Grémési
mot,Remuer,"Bwennen, rouminyen"
mot,Renconter,Kontré
mot,Repos,"Permont, kanpo"
mot,Repu (avoir bien ou trop mangé),"Angwé, gon"
mot,Ressembler,Sanblé
mot,Reste d’aliments ou de boissons,Baba (baba kafé)
mot,Rien,Ak
mot,Rigoler,Anmizé
mot,Riposter,"Réponn, chou pou chou"
mot,Rogner,Ronyen
mot,Roi,"Rwè, Mouché Lirwè"
mot,Roublard,"Baroufyè, fè barouf"
mot,Rouspéter,"Babyé, rouspété, rouspèkté"
mot,Rusé,"Malen, rizé, gaya"
mot,Sac en feuilles de palmier tressées,"Moutété, katouri-do"
mot,Sac en osier,"Pagra, kroukrou (osier = arouman)"
mot,Saigner,"Senyen, sengnen"
mot,Saisir rapidement,"Djap, dap"
mot,(Salamandre) lézard de forêt,Aganman
mot,Salle de bain,Chanm-ben
mot,Saoûl,"Boulé, sou, kokomèrlo pran’l, ladoublé"
mot,Sans éducation,Malapri
mot,Scène hétéroclite,Bankoulélé
mot,Se préparer pour …,"Filé so lanng, lang"
mot,Secouer,Soukouyé
mot,Secouer dans de l’eau,Tchòkò-tchòkò
mot,Secret,Sigré
mot,Séducteur profitant,Dousinè
mot,Sentier,Chimen-chyen
mot,"Séparé, couper en plusieurs parties égales","Sa dé, sendé"
mot,Serré l’un contre l’autre,Braré
mot,"Seulement, seul","Ounso, rounso"
mot,"Sieste (faire la), sommeiller","Sigalé, pozé tèt"
mot,"Signal, clin d’œil",Kasé-wéy
mot,Simagré,"Simiyak, makakri"
mot,Simplet,"Bozobyo, bòzòbyò"
mot,Simplet,"Tèbè, abèbè, kòkòdò, abòzò"
mot,Slip local,"Kalenmbé, Badja-kousou"
mot,Soit disant,Swé dizan
mot,"Soir, ce soir, hier soir, demain soir","Aswè, aswè a, ayèroswè, dimen aswè"
mot,Soldat,Soda
mot,Sommet,Fétaj
mot,Sommet de la toiture,Fétaj kaze
mot,Sorcier,"Pyayò, pyayèr"
mot,Sortie de voyous,Labordé
mot,"Sortilège, mauvais sort, sorcellerie","Pyay, tchenbwa, jwé pajè, jangajé"
mot,Souche,Chiko
mot,"Soumettre, Mettre à terre",Soum-soum
mot,Souper,Dinen
mot,Sourd,"Sourdo, soudo"
mot,Sourd (faire le),"Fè so sourdo, soudo"
mot,Soutenir,Soutni
mot,Stylo,Plim
mot,"Sucer, seins",Tété
mot,"Sur, au-dessus","Asou, lasou"
mot,Surtout,Soutou
mot,Survivre,"Djoubaté, djoubatè"
mot,Suspendre,"Pandriyé, kroké"
mot,Tailler en pointe,"Karé, pwenti"
mot,Tailleur,"Tayò, tayèr"
